iteracao;valor_fo
1042;6190632.591167
1043;6190632.591167
1044;6190632.588824
1045;6190632.588824
1046;6190632.588824
1047;6190632.588824
1048;6190632.562715
1049;6190632.562715
1050;6190632.562715
1051;6190632.544008
1052;6190632.314487
1053;6190632.314487
1054;6190632.063923
1055;6190632.063923
1056;6190632.063923
1057;6190632.063923
1058;6190632.051172
1059;6190632.051172
1060;6190632.048539
1061;6190632.048539
1062;6190632.048539
1063;6190632.048539
1064;6190632.048539
1065;6190632.032803
1066;6190632.023819
1067;6190632.023819
1068;6190632.023819
1069;6190631.976880
1070;6190631.971399
1071;6190631.968337
1072;6190631.873304
1073;6190631.645839
1074;6190631.598911
1075;6190631.596964
1076;6190631.526643
1077;6190631.177425
1078;6190631.169536
1079;6190631.145867
1080;6190631.137566
1081;6190631.137566
1082;6190631.137566
1083;6190631.113071
1084;6190631.113071
1085;6190631.113071
1086;6190630.958634
1087;6190630.933793
1088;6190630.761729
1089;6190630.761729
1090;6190630.761729
1091;6190630.761729
1092;6190630.761729
1093;6190630.761729
1094;6190630.740797
1095;6190630.424503
1096;6190630.424503
1097;6190630.424503
1098;6190630.424503
1099;6190630.424503
1100;6190630.424503
1101;6190630.424503
1102;6190630.424503
1103;6190630.424503
1104;6190630.403746
1105;6190630.330404
1106;6190630.071050
1107;6190630.071050
1108;6190629.764068
1109;6190629.764068
1110;6190629.656313
1111;6190629.618690
1112;6190629.383225
1113;6190629.383225
1114;6190629.287727
1115;6190628.817838
1116;6190628.797658
1117;6190628.628600
1118;6190628.628600
1119;6190628.628600
1120;6190628.628600
1121;6190628.628600
1122;6190628.628600
1123;6190628.628600
1124;6190628.628600
1125;6190628.628600
1126;6190628.628600
1127;6190628.588043
1128;6190628.201572
1129;6190628.201572
1130;6190628.201572
1131;6190628.201572
1132;6190628.201572
1133;6190627.918495
1134;6190627.918495
1135;6190627.789034
1136;6190627.789034
1137;6190627.789034
1138;6190627.789034
1139;6190627.789034
1140;6190627.757332
1141;6190627.757332
1142;6190627.757332
1143;6190627.757332
1144;6190627.757332
1145;6190627.558500
1146;6190627.529781
1147;6190627.529781
1148;6190627.354258
1149;6190627.282462
1150;6190627.282462
1151;6190627.282462
1152;6190627.282462
1153;6190627.282462
1154;6190627.282462
1155;6190627.282462
1156;6190627.282462
1157;6190627.282462
1158;6190627.117414
1159;6190627.117414
1160;6190627.117414
1161;6190627.117414
1162;6190627.117414
1163;6190627.117414
1164;6190627.117414
1165;6190627.117414
1166;6190627.117414
1167;6190627.117414
1168;6190627.117414
1169;6190627.117414
1170;6190627.117414
1171;6190627.117414
1172;6190627.104138
1173;6190627.104138
1174;6190627.104138
1175;6190626.934019
1176;6190626.934019
1177;6190626.934019
1178;6190626.864578
1179;6190625.689627
1180;6190625.682054
1181;6190625.639231
1182;6190625.639231
1183;6190625.639231
1184;6190625.636587
1185;6190625.621067
1186;6190625.621067
1187;6190625.621067
1188;6190625.616511
1189;6190625.445718
1190;6190625.445718
1191;6190625.445718
1192;6190625.445718
1193;6190625.363920
1194;6190625.363920
1195;6190622.962046
1196;6190622.962046
1197;6190622.962046
1198;6190622.307274
1199;6190622.307274
1200;6190622.307274
1201;6190622.102681
1202;6190621.726253
1203;6190621.349824
1204;6190620.932783
1205;6190620.762737
1206;6190620.762737
1207;6190620.762737
1208;6190620.762737
1209;6190620.762737
1210;6190620.762737
1211;6190620.762737
1212;6190620.762737
1213;6190620.521709
1214;6190620.240297
1215;6190620.026330
1216;6190619.140236
1217;6190619.137064
1218;6190619.113423
1219;6190618.807557
1220;6190618.807557
1221;6190618.700009
1222;6190615.613277
1223;6190615.613277
1224;6190615.613277
1225;6190615.613277
1226;6190615.613277
1227;6190615.613277
1228;6190615.613277
1229;6190615.613277
1230;6190615.613277
1231;6190615.613277
1232;6190615.613277
1233;6190615.613277
1234;6190615.613277
1235;6190614.483991
1236;6190614.483991
1237;6190614.483991
1238;6190614.483991
1239;6190613.575357
1240;6190613.575357
1241;6190613.575357
1242;6190613.575357
1243;6190613.575357
1244;6190613.575357
1245;6190613.575357
1246;6190613.575357
1247;6190613.575357
1248;6190613.575357
1249;6190613.575357
1250;6190613.575357
1251;6190613.575357
1252;6190613.575357
1253;6190613.575357
1254;6190613.575357
1255;6190613.575357
1256;6190613.575357
1257;6190613.575357
1258;6190613.575357
1259;6190613.575357
1260;6190613.575357
1261;6190613.575357
1262;6190613.575357
1263;6190613.575357
1264;6190613.575357
1265;6190613.575357
1266;6190613.575357
1267;6190613.575357
1268;6190613.575357
1269;6190613.575357
1270;6190608.964156
1271;6190608.939715
1272;6190608.917233
1273;6190608.917233
1274;6190608.917233
1275;6190608.702910
1276;6190608.702910
1277;6190608.702910
1278;6190608.702910
1279;6190608.702910
1280;6190608.702910
1281;6190608.702910
1282;6190608.702910
1283;6190608.702910
1284;6190608.702910
1285;6190608.702910
1286;6190608.702910
1287;6190608.702910
1288;6190608.702910
1289;6190608.702910
1290;6190608.702910
1291;6190608.268982
1292;6190608.268982
1293;6190608.268982
1294;6190608.268982
1295;6190608.268982
1296;6190608.268982
1297;6190608.268982
1298;6190607.887012
1299;6190607.868565
1300;6190607.868565
1301;6190607.785066
1302;6190607.785066
1303;6190605.758458
1304;6190605.758458
1305;6190605.758458
1306;6190605.558426
1307;6190605.541298
1308;6190604.696409
1309;6190604.696409
